web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time,updates,updates-href,createdby,shares
"1543713614-1787","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/help-me-startcandle-business","https://d2g8igdw686xgo.cloudfront.net/34092884_154083493130536_r.jpeg","of $600 goal","$115","8","Raised by 8 people in 1 month","null","","Created October 29, 2018","30"
"1543713298-1668","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/moving-expanding-the-business","https://d2g8igdw686xgo.cloudfront.net/22593876_1501204306.2376.jpg","of $1,000 goal","$1,615","52","Raised by 52 people in 16 months","null","","Created July 27, 2017","114"
"1543711866-1134","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/help-start-a-young-business","https://d2g8igdw686xgo.cloudfront.net/26848082_15155563480_r.jpeg","goal","$100,000","10 months","Campaign created 10 months ago","null","","Created January 9, 2018","null"
"1543712177-1254","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/creating-new-brand","https://d2g8igdw686xgo.cloudfront.net/34756996_1542952117773498_r.jpeg","goal","$10,000","9 days","Campaign created 9 days ago","null","","Created November 22, 2018","null"
"1543712927-1535","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/4cb48-save-my-business","https://d2g8igdw686xgo.cloudfront.net/24212356_1506475237.3012.jpg","of $3,000 goal","$800","7","Raised by 7 people in 14 months","null","","Created September 26, 2017","49"
"1543713529-1754","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/stephenhertzler","https://d2g8igdw686xgo.cloudfront.net/23486144_15041949730_r.jpg","of $12,000 goal","$12,000","76","Raised by 76 people in 15 months","Updates   2","https://www.gofundme.com/stephenhertzler#updates","Created August 31, 2017","151"
"1543713629-1793","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/5xqbru0","https://d2g8igdw686xgo.cloudfront.net/31988898_1533836127521628_r.jpg","of $10,000 goal","$5,435","34","Raised by 34 people in 3 months","Updates   11","https://www.gofundme.com/5xqbru0#updates","Created August 8, 2018","162"
"1543712612-1417","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/8xzwv-help-ron-stay-in-business","https://d2g8igdw686xgo.cloudfront.net/26380932_1513780716.7751.jpg","of $5,000 goal","$155","7","Raised by 7 people in 11 months","Updates   4","https://www.gofundme.com/8xzwv-help-ron-stay-in-business#updates","Created December 20, 2017","100"
"1543712607-1415","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/deb-x-cbs-charity-soccer-match","https://d2g8igdw686xgo.cloudfront.net/33465704_1539032760255144_r.jpeg","of $2,500 goal","$3,611","53","Raised by 53 people in 1 month","null","","Created October 8, 2018","2"
"1543712444-1350","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/dads-rebuild-business-due-to-fire","https://d2g8igdw686xgo.cloudfront.net/16861936_fb_1482179108.1617_funds.jpg","of $20,000 goal","$850","7","Raised by 7 people in 23 months","Updates   3","https://www.gofundme.com/dads-rebuild-business-due-to-fire#updates","null","232"
