web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543366179-429","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/stem-education-in-holyoke-ma","","goal","$10,000","3 months","Campaign created 3 months ago"
"1543366475-505","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/wxjg3-help-a-child","https://d2g8igdw686xgo.cloudfront.net/33816434_1539798949866819_r.jpeg","of $1,000 goal","$100","7","Raised by 7 people in 1 month"
"1543365742-313","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/donations-for-my-students-innamibia","https://d2g8igdw686xgo.cloudfront.net/24653088_1507974449.2855.jpg","of €10,000 goal","€1,790","56","Raised by 56 people in 13 months"
"1543365521-257","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/block-by-block-cognitive-math-set","https://d2g8igdw686xgo.cloudfront.net/33636778_1539200790760934_r.jpeg","of $300 goal","$200","10","Raised by 10 people in 1 month"
"1543385399-864","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-me-get-educated-for-employment","https://d2g8igdw686xgo.cloudfront.net/29767192_15258939030_r.jpeg","goal","$15,000","6 months","Campaign created 6 months ago"
"1543371041-641","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/roger-williams-scholarship-memorial","https://d2g8igdw686xgo.cloudfront.net/30619228_1529044011306704_r.jpeg","of $3,000 goal","$705","8","Raised by 8 people in 5 months"
"1543365547-264","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-us-send-javier-to-university","https://d2g8igdw686xgo.cloudfront.net/30362858_15281269970_r.jpeg","of $9,710 goal","$1,815","18","Raised by 18 people in 5 months"
"1543373023-674","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/se3mz2-robotics-competition","https://d2g8igdw686xgo.cloudfront.net/18332800_1488057004.2577.jpg","of $7,500 goal","$560","12","Raised by 12 people in 21 months"
"1543366386-481","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/chb0jc","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1867974_1407012526.5277.jpg","of $1,200 goal","$850","21","Raised by 21 people in 52 months"
"1543372362-663","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/lincoln3rd","https://d2g8igdw686xgo.cloudfront.net/29546586_15251344070_r.jpeg","of $470 goal","$470","13","Raised by 13 people in 7 months"
